Species,current_clim_current_lc,current_clim_future_SSP5_lc,future_clim_current_lc,future_clim_future_SSP5_lc,change_rel_lc,change_rel_cc,change_rel_both,additive,additive_new,add_diff,combined,Family,Threat_status,Range_area,add_sign,comb_sign,threatened
Abavorana_luctuosa,69378.46100022497,69193.98829570659,33955.291541823615,33887.40615394274,-0.2658933361433089,-51.057877254277074,-51.15572518417084,-51.32377059042038,-51.459530083615746,-0.13575949319536562,-51.15572518417084,RANIDAE,LC,9.39862440926,-,-,Not-threatened
Acanthixalus_sonjae,3655.0882483887717,3589.4885825456117,0,0,-1.7947491656891592,-100,-100,-101.79474916568915,-103.58949833137831,-1.7947491656891543,-100,HYPEROLIIDAE,NT,0.46497159835762997,-,-,Not-threatened
Acanthixalus_spinosus,891429.9437563968,910632.0051308557,0,0,2.154074081642735,-100,-100,-97.84592591835727,-95.69185183671453,2.154074081642733,-100,HYPEROLIIDAE,LC,98.6870722541,-,-,Not-threatened
Acris_crepitans,374307.4876222408,358044.2896270793,140170.14478750675,132241.08079580773,-4.344876480690291,-62.55213977205567,-64.67046875394908,-66.89701625274596,-69.61482946187051,-2.7178132091245573,-64.67046875394908,HYLIDAE,LC,322.578169075,-,-,Not-threatened
Adelophryne_patamona,1265.0336958471623,1265.0336958471623,0,0,0,-100,-100,-100,-100,0,-100,ELEUTHERODACTYLIDAE,DD,0.115161151293,-,-,Not-applicable
Adelphobates_castaneoticus,12116.377206787878,11907.878503805434,0,0,-1.720800693342878,-100,-100,-101.72080069334288,-103.44160138668576,-1.7208006933428805,-100,DENDROBATIDAE,LC,1.9790031617,-,-,Not-threatened
Adelphobates_galactonotus,298238.1674735937,291652.54047654837,0,0,-2.208177126634355,-100,-100,-102.20817712663435,-104.4163542532687,-2.2081771266343395,-100,DENDROBATIDAE,LC,46.4071371563,-,-,Not-threatened
Adelphobates_quinquevittatus,1197211.7092640356,1191598.387566055,0,0,-0.46886625435958357,-100,-100,-100.46886625435958,-100.93773250871917,-0.4688662543595825,-100,DENDROBATIDAE,LC,118.053478671,-,-,Not-threatened
Adenomera_diptyx,370675.7930736827,366595.34277933615,0,0,-1.1008138029492094,-100,-100,-101.1008138029492,-102.20162760589844,-1.100813802949233,-100,LEPTODACTYLIDAE,LC,39.7158278402,-,-,Not-threatened
Adenomera_nana,10972.693830017091,10640.971103277083,5746.658825420165,5530.016146417156,-3.023165795736887,-47.62763898779801,-49.60201904760025,-50.650804783534895,-52.09066727473106,-1.4398624911961662,-49.60201904760025,LEPTODACTYLIDAE,LC,1.26437592579,-,-,Not-threatened
Adenomera_thomei,4593.983417256364,4403.664882282929,1343.8617261033098,1307.2361429657399,-4.142778013924518,-70.74735356998968,-71.54460466584679,-74.8901315839142,-77.82103739304513,-2.930905809130934,-71.54460466584679,LEPTODACTYLIDAE,LC,0.513156590178,-,-,Not-threatened
Adenomus_kelaartii,2699.872091607998,2648.855294745726,2414.060075073853,2372.018672443615,-1.8896005118482138,-10.586131743890133,-12.143294498411557,-12.475732255738347,-12.675767855355824,-0.2000355996174772,-12.143294498411557,BUFONIDAE,EN,0.403039957049,-,-,Threatened
Afrixalus_brachycnemis,61524.33993133978,56245.933017183605,0,0,-8.579379998301158,-100,-100,-108.57937999830116,-117.15875999660233,-8.579379998301164,-100,HYPEROLIIDAE,LC,36.6137443443,-,-,Not-threatened
Afrixalus_clarkei,1004.1804579322454,790.0913051368142,0,0,-21.31978879934311,-100,-100,-121.31978879934312,-142.63957759868623,-21.319788799343115,-100,HYPEROLIIDAE,EN,0.116790140998,-,-,Threatened
Afrixalus_crotalus,14928.374891341968,14561.56779248596,2711.0570053029764,2585.3426192103902,-2.457113393292033,-81.83957044865404,-82.68168747081897,-84.29668384194608,-86.30757488845265,-2.010891046506572,-82.68168747081897,HYPEROLIIDAE,LC,16.8584083023,-,-,Not-threatened
